Found Tables: artists, calendar, events, hosts, images, models, sessions, types, user_bios, users, venues

TABLE: artists
  id | bigint | NO | nextval('artists_id_seq'::regclass)
  user_id | bigint | NO | null
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()
  active | smallint | NO | 1

TABLE: calendar
  id | bigint | NO | nextval('calendar_id_seq'::regclass)
  user_id | bigint | NO | null
  date | timestamp without time zone | NO | null
  attendance_inperson | integer | NO | 0
  attendance_online | integer | NO | 0
  start | time without time zone | NO | null
  duration | numeric | NO | null
  notes | text | YES | null
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()
  tbc | smallint | YES | 0
  venue_id | bigint | YES | null

TABLE: events
  id | integer | NO | nextval('events_id_seq'::regclass)
  host_id | integer | NO | null
  venue_id | integer | YES | null
  title | character varying | NO | null
  description | text | YES | null
  event_type | character varying | NO | 'in_person'::character varying
  price_info | character varying | YES | null
  default_duration_mins | integer | YES | 120
  recurrence | character varying | YES | null
  active | boolean | YES | true
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()

TABLE: hosts
  id | integer | NO | nextval('hosts_id_seq'::regclass)
  user_id | integer | YES | 2013
  name | character varying | NO | null
  description | text | YES | null
  email | character varying | YES | null
  socials | jsonb | YES | '{}'::jsonb
  logo | character varying | YES | ''::character varying
  images | jsonb | YES | '[]'::jsonb
  active | boolean | YES | true
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()

TABLE: images
  id | bigint | NO | nextval('images_id_seq'::regclass)
  user_id | bigint | NO | null
  type_id | bigint | NO | null
  src | character varying | NO | null
  active | smallint | NO | 1
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()

TABLE: models
  id | bigint | NO | nextval('models_id_seq'::regclass)
  user_id | bigint | NO | null
  sex | smallint | NO | 0
  instagram | character varying | NO | null
  portrait | character varying | NO | null
  account_holder | character varying | YES | null
  account_number | character varying | YES | null
  account_sortcode | character varying | YES | null
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()
  active | smallint | NO | 1
  sells_online | smallint | YES | 0

TABLE: sessions
  id | integer | NO | nextval('sessions_id_seq'::regclass)
  event_id | integer | NO | null
  venue_id | integer | YES | null
  starts_at | timestamp without time zone | NO | null
  ends_at | timestamp without time zone | NO | null
  price_info_override | character varying | YES | null
  ticket_link | character varying | YES | null
  cancelled | boolean | YES | false
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()

TABLE: types
  id | bigint | NO | nextval('types_id_seq'::regclass)
  name | character varying | NO | null
  description | text | YES | null

TABLE: user_bios
  id | bigint | NO | nextval('user_bios_id_seq'::regclass)
  user_id | bigint | NO | null
  instagram | character varying | YES | null
  description | text | YES | null
  websites | text | YES | null
  fullname | character varying | NO | null
  known_as | character varying | YES | null
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()
  phone | character varying | YES | null

TABLE: users
  id | bigint | NO | nextval('users_id_seq'::regclass)
  emailaddress | character varying | NO | null
  password | character varying | NO | null
  created_on | timestamp without time zone | NO | now()
  active | smallint | NO | 1
  confirmed_on | timestamp without time zone | YES | null
  login_on | timestamp without time zone | NO | now()
  is_admin | boolean | YES | false

TABLE: venues
  id | integer | NO | nextval('venues_id_seq'::regclass)
  name | character varying | NO | null
  address_line_1 | character varying | NO | null
  address_line_2 | character varying | YES | ''::character varying
  county | character varying | YES | ''::character varying
  postcode | character varying | NO | null
  address_area | character varying | YES | ''::character varying
  active | boolean | NO | true
  timezone | character varying | NO | 'GMT'::character varying
  latitude | numeric | YES | null
  longitude | numeric | YES | null
  created_on | timestamp without time zone | NO | now()
  modified_on | timestamp without time zone | NO | now()
